year,party,vote_share,id,sum
1993,far-right,1.15,1,13.01
1994,far-right,0.52,2,10.930000000000001
1995,far-right,0.48,3,11.1
1996,far-right,0.51,4,12.979999999999999
1997,far-right,0.42,5,12.450000000000001
1998,far-right,0.4,6,12.559999999999999
1999,far-right,0.4,7,12.74
2000,far-right,0.38,8,11.56
2001,far-right,1.59,9,17.91
2002,far-right,1.46,10,17.71
2003,far-right,1.47,11,17.07
2004,far-right,1.47,12,17.01
2005,far-right,1.59,13,17.85
2006,far-right,1.61,14,17.16
2007,far-right,1.47,15,14.84
2008,far-right,0.38,16,15.190000000000001
2009,far-right,0.38,17,14.26
2010,far-right,0.4,18,15.080000000000002
2011,far-right,0.5,19,15.49
2012,far-right,0.64,20,17.97
2013,far-right,0.35,21,19.2
2014,far-right,0.36,22,19.119999999999997
2015,far-right,0.6,23,25.46
2016,far-right,0.78,24,24.97
2017,far-right,0.78,25,26.009999999999998
2018,far-right,0.75,26,26.35
2019,far-right,0.84,27,27.05
2020,far-right,0.73,28,27.27
2021,far-right,0.73,29,26.819999999999997
2022,far-right,0.84,30,28.389999999999997
2023,far-right,0.87,31,27.5
2024,far-right,0.88,32,31.46
2025,far-right,0.88,33,34.199999999999996
2026,far-right,0.84,34,34.36
1993,far-right populist,5.41,35,13.01
1994,far-right populist,4.55,36,10.930000000000001
1995,far-right populist,4.72,37,11.1
1996,far-right populist,5.7,38,12.979999999999999
1997,far-right populist,5.29,39,12.450000000000001
1998,far-right populist,5.3,40,12.559999999999999
1999,far-right populist,5.5,41,12.74
2000,far-right populist,5.86,42,11.56
2001,far-right populist,5.78,43,17.91
2002,far-right populist,4.81,44,17.71
2003,far-right populist,4.69,45,17.07
2004,far-right populist,4.41,46,17.01
2005,far-right populist,4.72,47,17.85
2006,far-right populist,5.08,48,17.16
2007,far-right populist,3.75,49,14.84
2008,far-right populist,3.98,50,15.190000000000001
2009,far-right populist,4.1,51,14.26
2010,far-right populist,5.7,52,15.080000000000002
2011,far-right populist,5.55,53,15.49
2012,far-right populist,6.54,54,17.97
2013,far-right populist,6.31,55,19.2
2014,far-right populist,6.25,56,19.119999999999997
2015,far-right populist,10.21,57,25.46
2016,far-right populist,10.31,58,24.97
2017,far-right populist,11.24,59,26.009999999999998
2018,far-right populist,13.28,60,26.35
2019,far-right populist,15.1,61,27.05
2020,far-right populist,15.49,62,27.27
2021,far-right populist,15.09,63,26.819999999999997
2022,far-right populist,17.65,64,28.389999999999997
2023,far-right populist,17.2,65,27.5
2024,far-right populist,20.97,66,31.46
2025,far-right populist,22.65,67,34.199999999999996
2026,far-right populist,22.44,68,34.36
1993,far-left,3.26,69,13.01
1994,far-left,2.64,70,10.930000000000001
1995,far-left,2.72,71,11.1
1996,far-left,3.74,72,12.979999999999999
1997,far-left,3.84,73,12.450000000000001
1998,far-left,3.81,74,12.559999999999999
1999,far-left,3.8,75,12.74
2000,far-left,3.27,76,11.56
2001,far-left,3.06,77,17.91
2002,far-left,2.74,78,17.71
2003,far-left,2.75,79,17.07
2004,far-left,2.68,80,17.01
2005,far-left,2.7,81,17.85
2006,far-left,2.68,82,17.16
2007,far-left,2.52,83,14.84
2008,far-left,1.86,84,15.190000000000001
2009,far-left,1.86,85,14.26
2010,far-left,1.8,86,15.080000000000002
2011,far-left,2.14,87,15.49
2012,far-left,2.4,88,17.97
2013,far-left,2.77,89,19.2
2014,far-left,2.82,90,19.119999999999997
2015,far-left,2.84,91,25.46
2016,far-left,2.52,92,24.97
2017,far-left,1.84,93,26.009999999999998
2018,far-left,1.71,94,26.35
2019,far-left,1.71,95,27.05
2020,far-left,1.67,96,27.27
2021,far-left,1.61,97,26.819999999999997
2022,far-left,0.98,98,28.389999999999997
2023,far-left,1.6,99,27.5
2024,far-left,1.6,100,31.46
2025,far-left,1.61,101,34.199999999999996
2026,far-left,1.63,102,34.36
1993,far-left populist,0.52,103,13.01
1994,far-left populist,0.96,104,10.930000000000001
1995,far-left populist,0.96,105,11.1
1996,far-left populist,1.09,106,12.979999999999999
1997,far-left populist,1.09,107,12.450000000000001
1998,far-left populist,1.21,108,12.559999999999999
1999,far-left populist,1.21,109,12.74
2000,far-left populist,1.14,110,11.56
2001,far-left populist,1.14,111,17.91
2002,far-left populist,1.02,112,17.71
2003,far-left populist,0.83,113,17.07
2004,far-left populist,0.8,114,17.01
2005,far-left populist,1.6,115,17.85
2006,far-left populist,1.59,116,17.16
2007,far-left populist,1.58,117,14.84
2008,far-left populist,1.65,118,15.190000000000001
2009,far-left populist,0.26,119,14.26
2010,far-left populist,0.22,120,15.080000000000002
2011,far-left populist,0.14,121,15.49
2012,far-left populist,0.61,122,17.97
2013,far-left populist,0.61,123,19.2
2014,far-left populist,0.59,124,19.119999999999997
2015,far-left populist,2,125,25.46
2016,far-left populist,2.05,126,24.97
2017,far-left populist,3.46,127,26.009999999999998
2018,far-left populist,3.51,128,26.35
2019,far-left populist,2.49,129,27.05
2020,far-left populist,2.5,130,27.27
2021,far-left populist,2.51,131,26.819999999999997
2022,far-left populist,4.36,132,28.389999999999997
2023,far-left populist,3.52,133,27.5
2024,far-left populist,3.82,134,31.46
2025,far-left populist,3.82,135,34.199999999999996
2026,far-left populist,3.8,136,34.36
1993,populist,2.67,137,13.01
1994,populist,2.26,138,10.930000000000001
1995,populist,2.22,139,11.1
1996,populist,1.94,140,12.979999999999999
1997,populist,1.81,141,12.450000000000001
1998,populist,1.84,142,12.559999999999999
1999,populist,1.83,143,12.74
2000,populist,0.91,144,11.56
2001,populist,6.34,145,17.91
2002,populist,7.68,146,17.71
2003,populist,7.33,147,17.07
2004,populist,7.65,148,17.01
2005,populist,7.24,149,17.85
2006,populist,6.2,150,17.16
2007,populist,5.52,151,14.84
2008,populist,7.32,152,15.190000000000001
2009,populist,7.66,153,14.26
2010,populist,6.96,154,15.080000000000002
2011,populist,7.16,155,15.49
2012,populist,7.78,156,17.97
2013,populist,9.16,157,19.2
2014,populist,9.1,158,19.119999999999997
2015,populist,9.81,159,25.46
2016,populist,9.31,160,24.97
2017,populist,8.69,161,26.009999999999998
2018,populist,7.1,162,26.35
2019,populist,6.91,163,27.05
2020,populist,6.88,164,27.27
2021,populist,6.88,165,26.819999999999997
2022,populist,4.56,166,28.389999999999997
2023,populist,4.31,167,27.5
2024,populist,4.19,168,31.46
2025,populist,5.24,169,34.199999999999996
2026,populist,5.65,170,34.36
