year,country_name,party,vote_share
1993,Duitsland,right_votes,0
1993,Duitsland,right_populist_votes,2.1
1993,Duitsland,left_votes,0
1993,Duitsland,left_populist_votes,2.4
1993,Duitsland,populist_votes,0
1994,Duitsland,right_votes,0
1994,Duitsland,right_populist_votes,1.9
1994,Duitsland,left_votes,0
1994,Duitsland,left_populist_votes,4.4
1994,Duitsland,populist_votes,0
1995,Duitsland,right_votes,0
1995,Duitsland,right_populist_votes,1.9
1995,Duitsland,left_votes,0
1995,Duitsland,left_populist_votes,4.4
1995,Duitsland,populist_votes,0
1996,Duitsland,right_votes,0
1996,Duitsland,right_populist_votes,1.9
1996,Duitsland,left_votes,0
1996,Duitsland,left_populist_votes,4.4
1996,Duitsland,populist_votes,0
1997,Duitsland,right_votes,0
1997,Duitsland,right_populist_votes,1.9
1997,Duitsland,left_votes,0
1997,Duitsland,left_populist_votes,4.4
1997,Duitsland,populist_votes,0
1998,Duitsland,right_votes,0
1998,Duitsland,right_populist_votes,1.8
1998,Duitsland,left_votes,0
1998,Duitsland,left_populist_votes,5.1
1998,Duitsland,populist_votes,0
1999,Duitsland,right_votes,0
1999,Duitsland,right_populist_votes,1.8
1999,Duitsland,left_votes,0
1999,Duitsland,left_populist_votes,5.1
1999,Duitsland,populist_votes,0
2000,Duitsland,right_votes,0
2000,Duitsland,right_populist_votes,1.8
2000,Duitsland,left_votes,0
2000,Duitsland,left_populist_votes,5.1
2000,Duitsland,populist_votes,0
2001,Duitsland,right_votes,0
2001,Duitsland,right_populist_votes,1.8
2001,Duitsland,left_votes,0
2001,Duitsland,left_populist_votes,5.1
2001,Duitsland,populist_votes,0
2002,Duitsland,right_votes,0
2002,Duitsland,right_populist_votes,0.6
2002,Duitsland,left_votes,0
2002,Duitsland,left_populist_votes,4
2002,Duitsland,populist_votes,0
2003,Duitsland,right_votes,0
2003,Duitsland,right_populist_votes,0.6
2003,Duitsland,left_votes,0
2003,Duitsland,left_populist_votes,4
2003,Duitsland,populist_votes,0
2004,Duitsland,right_votes,0
2004,Duitsland,right_populist_votes,0.6
2004,Duitsland,left_votes,0
2004,Duitsland,left_populist_votes,4
2004,Duitsland,populist_votes,0
2005,Duitsland,right_votes,0
2005,Duitsland,right_populist_votes,0
2005,Duitsland,left_votes,0
2005,Duitsland,left_populist_votes,8.7
2005,Duitsland,populist_votes,0
2006,Duitsland,right_votes,0
2006,Duitsland,right_populist_votes,0
