year,country_name,party,vote_share
1993,Frankrijk,right_votes,0
1993,Frankrijk,right_populist_votes,12.4
1993,Frankrijk,left_votes,9.2
1993,Frankrijk,left_populist_votes,0
1993,Frankrijk,populist_votes,0
1994,Frankrijk,right_votes,0
1994,Frankrijk,right_populist_votes,12.4
1994,Frankrijk,left_votes,9.2
1994,Frankrijk,left_populist_votes,0
1994,Frankrijk,populist_votes,0
1995,Frankrijk,right_votes,0
1995,Frankrijk,right_populist_votes,12.4
1995,Frankrijk,left_votes,9.2
1995,Frankrijk,left_populist_votes,0
1995,Frankrijk,populist_votes,0
1996,Frankrijk,right_votes,0
1996,Frankrijk,right_populist_votes,12.4
1996,Frankrijk,left_votes,9.2
1996,Frankrijk,left_populist_votes,0
1996,Frankrijk,populist_votes,0
1997,Frankrijk,right_votes,0
1997,Frankrijk,right_populist_votes,14.95
1997,Frankrijk,left_votes,9.93
1997,Frankrijk,left_populist_votes,0
1997,Frankrijk,populist_votes,0
1998,Frankrijk,right_votes,0
1998,Frankrijk,right_populist_votes,14.95
1998,Frankrijk,left_votes,9.93
1998,Frankrijk,left_populist_votes,0
1998,Frankrijk,populist_votes,0
1999,Frankrijk,right_votes,0
1999,Frankrijk,right_populist_votes,14.95
1999,Frankrijk,left_votes,9.93
1999,Frankrijk,left_populist_votes,0
1999,Frankrijk,populist_votes,0
2000,Frankrijk,right_votes,0
2000,Frankrijk,right_populist_votes,14.95
2000,Frankrijk,left_votes,9.93
2000,Frankrijk,left_populist_votes,0
2000,Frankrijk,populist_votes,0
2001,Frankrijk,right_votes,0
2001,Frankrijk,right_populist_votes,14.95
2001,Frankrijk,left_votes,9.93
2001,Frankrijk,left_populist_votes,0
2001,Frankrijk,populist_votes,0
2002,Frankrijk,right_votes,0
2002,Frankrijk,right_populist_votes,11.34
2002,Frankrijk,left_votes,6.0200000000000005
2002,Frankrijk,left_populist_votes,0
2002,Frankrijk,populist_votes,0
2003,Frankrijk,right_votes,0
2003,Frankrijk,right_populist_votes,11.34
2003,Frankrijk,left_votes,6.0200000000000005
2003,Frankrijk,left_populist_votes,0
2003,Frankrijk,populist_votes,0
2004,Frankrijk,right_votes,0
2004,Frankrijk,right_populist_votes,11.34
2004,Frankrijk,left_votes,6.0200000000000005
2004,Frankrijk,left_populist_votes,0
2004,Frankrijk,populist_votes,0
2005,Frankrijk,right_votes,0
2005,Frankrijk,right_populist_votes,11.34
2005,Frankrijk,left_votes,6.0200000000000005
2005,Frankrijk,left_populist_votes,0
2005,Frankrijk,populist_votes,0
2006,Frankrijk,right_votes,0
2006,Frankrijk,right_populist_votes,11.34
2006,Frankrijk,left_votes,6.0200000000000005
2006,Frankrijk,left_populist_votes,0
2006,Frankrijk,populist_votes,0
2007,Frankrijk,right_votes,0
2007,Frankrijk,right_populist_votes,4.29
2007,Frankrijk,left_votes,4.3
2007,Frankrijk,left_populist_votes,0
2007,Frankrijk,populist_votes,0
2008,Frankrijk,right_votes,0
2008,Frankrijk,right_populist_votes,4.29
2008,Frankrijk,left_votes,4.3
2008,Frankrijk,left_populist_votes,0
2008,Frankrijk,populist_votes,0
2009,Frankrijk,right_votes,0
2009,Frankrijk,right_populist_votes,4.29
2009,Frankrijk,left_votes,4.3
2009,Frankrijk,left_populist_votes,0
2009,Frankrijk,populist_votes,0
2010,Frankrijk,right_votes,0
2010,Frankrijk,right_populist_votes,4.29
2010,Frankrijk,left_votes,4.3
2010,Frankrijk,left_populist_votes,0
2010,Frankrijk,populist_votes,0
2011,Frankrijk,right_votes,0
2011,Frankrijk,right_populist_votes,4.29
2011,Frankrijk,left_votes,4.3
2011,Frankrijk,left_populist_votes,0
2011,Frankrijk,populist_votes,0
2012,Frankrijk,right_votes,0
2012,Frankrijk,right_populist_votes,13.6
2012,Frankrijk,left_votes,6.91
2012,Frankrijk,left_populist_votes,0
2012,Frankrijk,populist_votes,0
2013,Frankrijk,right_votes,0
2013,Frankrijk,right_populist_votes,13.6
2013,Frankrijk,left_votes,6.91
2013,Frankrijk,left_populist_votes,0
2013,Frankrijk,populist_votes,0
2014,Frankrijk,right_votes,0
2014,Frankrijk,right_populist_votes,13.6
2014,Frankrijk,left_votes,6.91
2014,Frankrijk,left_populist_votes,0
2014,Frankrijk,populist_votes,0
2015,Frankrijk,right_votes,0
2015,Frankrijk,right_populist_votes,13.6
2015,Frankrijk,left_votes,6.91
2015,Frankrijk,left_populist_votes,0
2015,Frankrijk,populist_votes,0
2016,Frankrijk,right_votes,0
2016,Frankrijk,right_populist_votes,13.6
2016,Frankrijk,left_votes,6.91
2016,Frankrijk,left_populist_votes,0
2016,Frankrijk,populist_votes,0
2017,Frankrijk,right_votes,0
2017,Frankrijk,right_populist_votes,13.2
2017,Frankrijk,left_votes,2.72
2017,Frankrijk,left_populist_votes,0
2017,Frankrijk,populist_votes,1.17
2018,Frankrijk,right_votes,0
2018,Frankrijk,right_populist_votes,13.2
2018,Frankrijk,left_votes,2.72
2018,Frankrijk,left_populist_votes,0
2018,Frankrijk,populist_votes,1.17
2019,Frankrijk,right_votes,0
2019,Frankrijk,right_populist_votes,13.2
2019,Frankrijk,left_votes,2.72
2019,Frankrijk,left_populist_votes,0
2019,Frankrijk,populist_votes,1.17
2020,Frankrijk,right_votes,0
2020,Frankrijk,right_populist_votes,13.2
2020,Frankrijk,left_votes,2.72
2020,Frankrijk,left_populist_votes,0
2020,Frankrijk,populist_votes,1.17
2021,Frankrijk,right_votes,0
2021,Frankrijk,right_populist_votes,13.2
2021,Frankrijk,left_votes,2.72
2021,Frankrijk,left_populist_votes,0
2021,Frankrijk,populist_votes,1.17
2022,Frankrijk,right_votes,0
2022,Frankrijk,right_populist_votes,22.92
2022,Frankrijk,left_votes,0
2022,Frankrijk,left_populist_votes,0
2022,Frankrijk,populist_votes,0
2023,Frankrijk,right_votes,0
2023,Frankrijk,right_populist_votes,22.92
2023,Frankrijk,left_votes,0
2023,Frankrijk,left_populist_votes,0
2023,Frankrijk,populist_votes,0
2024,Frankrijk,right_votes,0
2024,Frankrijk,right_populist_votes,29.299999999999997
2024,Frankrijk,left_votes,0
2024,Frankrijk,left_populist_votes,0
2024,Frankrijk,populist_votes,0.3
2025,Frankrijk,right_votes,0
2025,Frankrijk,right_populist_votes,29.299999999999997
2025,Frankrijk,left_votes,0
2025,Frankrijk,left_populist_votes,0
2025,Frankrijk,populist_votes,0.3
2026,Frankrijk,right_votes,0
2026,Frankrijk,right_populist_votes,29.299999999999997
2026,Frankrijk,left_votes,0
2026,Frankrijk,left_populist_votes,0
2026,Frankrijk,populist_votes,0.3
