year,country_name,party,vote_share
1993,Italië,right_votes,5.4
1993,Italië,right_populist_votes,8.7
1993,Italië,left_votes,5.6
1993,Italië,left_populist_votes,0
1993,Italië,populist_votes,1.9
1994,Italië,right_votes,0
1994,Italië,right_populist_votes,0.2
1994,Italië,left_votes,0
1994,Italië,left_populist_votes,0
1994,Italië,populist_votes,0
1995,Italië,right_votes,0
1995,Italië,right_populist_votes,0.2
1995,Italië,left_votes,0
1995,Italië,left_populist_votes,0
1995,Italië,populist_votes,0
1996,Italië,right_votes,0
1996,Italië,right_populist_votes,10.290000000000001
1996,Italië,left_votes,8.57
1996,Italië,left_populist_votes,0
1996,Italië,populist_votes,0
1997,Italië,right_votes,0
1997,Italië,right_populist_votes,10.290000000000001
1997,Italië,left_votes,8.57
1997,Italië,left_populist_votes,0
1997,Italië,populist_votes,0
1998,Italië,right_votes,0
1998,Italië,right_populist_votes,10.290000000000001
1998,Italië,left_votes,8.57
1998,Italië,left_populist_votes,0
1998,Italië,populist_votes,0
1999,Italië,right_votes,0
1999,Italië,right_populist_votes,10.290000000000001
1999,Italië,left_votes,8.57
1999,Italië,left_populist_votes,0
1999,Italië,populist_votes,0
2000,Italië,right_votes,0
2000,Italië,right_populist_votes,10.290000000000001
2000,Italië,left_votes,8.57
2000,Italië,left_populist_votes,0
2000,Italië,populist_votes,0
2001,Italië,right_votes,12.02
2001,Italië,right_populist_votes,3.94
2001,Italië,left_votes,6.7
2001,Italië,left_populist_votes,0
2001,Italië,populist_votes,33.44
2002,Italië,right_votes,12.02
2002,Italië,right_populist_votes,3.94
2002,Italië,left_votes,6.7
2002,Italië,left_populist_votes,0
2002,Italië,populist_votes,33.44
2003,Italië,right_votes,12.02
2003,Italië,right_populist_votes,3.94
2003,Italië,left_votes,6.7
2003,Italië,left_populist_votes,0
2003,Italië,populist_votes,33.44
2004,Italië,right_votes,12.02
2004,Italië,right_populist_votes,3.94
2004,Italië,left_votes,6.7
2004,Italië,left_populist_votes,0
2004,Italië,populist_votes,33.44
2005,Italië,right_votes,12.02
2005,Italië,right_populist_votes,3.94
2005,Italië,left_votes,6.7
2005,Italië,left_populist_votes,0
2005,Italië,populist_votes,33.44
2006,Italië,right_votes,12.01
2006,Italië,right_populist_votes,4.51
2006,Italië,left_votes,7.94
2006,Italië,left_populist_votes,0
2006,Italië,populist_votes,25.91
2007,Italië,right_votes,12.01
2007,Italië,right_populist_votes,4.51
2007,Italië,left_votes,7.94
2007,Italië,left_populist_votes,0
2007,Italië,populist_votes,25.91
2008,Italië,right_votes,2.46
2008,Italië,right_populist_votes,8.29
2008,Italië,left_votes,3.16
2008,Italië,left_populist_votes,0
2008,Italië,populist_votes,42.709999999999994
2009,Italië,right_votes,2.46
2009,Italië,right_populist_votes,8.29
2009,Italië,left_votes,3.16
2009,Italië,left_populist_votes,0
2009,Italië,populist_votes,42.709999999999994
2010,Italië,right_votes,2.46
2010,Italië,right_populist_votes,8.29
2010,Italië,left_votes,3.16
2010,Italië,left_populist_votes,0
2010,Italië,populist_votes,42.709999999999994
2011,Italië,right_votes,2.46
2011,Italië,right_populist_votes,8.29
2011,Italië,left_votes,3.16
2011,Italië,left_populist_votes,0
2011,Italië,populist_votes,42.709999999999994
2012,Italië,right_votes,2.46
2012,Italië,right_populist_votes,8.29
2012,Italië,left_votes,3.16
2012,Italië,left_populist_votes,0
2012,Italië,populist_votes,42.709999999999994
2013,Italië,right_votes,0
2013,Italië,right_populist_votes,6.069999999999999
2013,Italië,left_votes,5.55
2013,Italië,left_populist_votes,0
2013,Italië,populist_votes,47.87
2014,Italië,right_votes,0
2014,Italië,right_populist_votes,6.069999999999999
2014,Italië,left_votes,5.55
2014,Italië,left_populist_votes,0
2014,Italië,populist_votes,47.87
2015,Italië,right_votes,0
2015,Italië,right_populist_votes,6.069999999999999
2015,Italië,left_votes,5.55
2015,Italië,left_populist_votes,0
2015,Italië,populist_votes,47.87
2016,Italië,right_votes,0
2016,Italië,right_populist_votes,6.069999999999999
2016,Italië,left_votes,5.55
2016,Italië,left_populist_votes,0
2016,Italië,populist_votes,47.87
2017,Italië,right_votes,0
2017,Italië,right_populist_votes,6.069999999999999
2017,Italië,left_votes,5.55
2017,Italië,left_populist_votes,0
2017,Italië,populist_votes,47.87
2018,Italië,right_votes,0
2018,Italië,right_populist_votes,21.740000000000002
2018,Italië,left_votes,4.52
2018,Italië,left_populist_votes,0
2018,Italië,populist_votes,33.87
2019,Italië,right_votes,0
2019,Italië,right_populist_votes,21.740000000000002
2019,Italië,left_votes,4.52
2019,Italië,left_populist_votes,0
2019,Italië,populist_votes,33.87
2020,Italië,right_votes,0
2020,Italië,right_populist_votes,21.740000000000002
2020,Italië,left_votes,4.52
2020,Italië,left_populist_votes,0
2020,Italië,populist_votes,33.87
2021,Italië,right_votes,0
2021,Italië,right_populist_votes,21.740000000000002
2021,Italië,left_votes,4.52
2021,Italië,left_populist_votes,0
2021,Italië,populist_votes,33.87
2022,Italië,right_votes,0
2022,Italië,right_populist_votes,34.769999999999996
2022,Italië,left_votes,1.43
2022,Italië,left_populist_votes,0
2022,Italië,populist_votes,15.43
2023,Italië,right_votes,0
2023,Italië,right_populist_votes,34.769999999999996
2023,Italië,left_votes,1.43
2023,Italië,left_populist_votes,0
2023,Italië,populist_votes,15.43
2024,Italië,right_votes,0
2024,Italië,right_populist_votes,34.769999999999996
2024,Italië,left_votes,1.43
2024,Italië,left_populist_votes,0
2024,Italië,populist_votes,15.43
2025,Italië,right_votes,0
2025,Italië,right_populist_votes,34.769999999999996
2025,Italië,left_votes,1.43
2025,Italië,left_populist_votes,0
2025,Italië,populist_votes,15.43
2026,Italië,right_votes,0
2026,Italië,right_populist_votes,34.769999999999996
2026,Italië,left_votes,1.43
2026,Italië,left_populist_votes,0
2026,Italië,populist_votes,15.43
