year,country_name,party,vote_share
1993,Nederland,right_votes,0
1993,Nederland,right_populist_votes,0.92
1993,Nederland,left_votes,0
1993,Nederland,left_populist_votes,0.44
1993,Nederland,populist_votes,0
1994,Nederland,right_votes,0
1994,Nederland,right_populist_votes,2.46
1994,Nederland,left_votes,0
1994,Nederland,left_populist_votes,1.32
1994,Nederland,populist_votes,0
1995,Nederland,right_votes,0
1995,Nederland,right_populist_votes,2.46
1995,Nederland,left_votes,0
1995,Nederland,left_populist_votes,1.32
1995,Nederland,populist_votes,0
1996,Nederland,right_votes,0
1996,Nederland,right_populist_votes,2.46
1996,Nederland,left_votes,0
1996,Nederland,left_populist_votes,1.32
1996,Nederland,populist_votes,0
1997,Nederland,right_votes,0
1997,Nederland,right_populist_votes,2.46
1997,Nederland,left_votes,0
1997,Nederland,left_populist_votes,1.32
1997,Nederland,populist_votes,0
1998,Nederland,right_votes,0
1998,Nederland,right_populist_votes,0.61
1998,Nederland,left_votes,0
1998,Nederland,left_populist_votes,3.53
1998,Nederland,populist_votes,0
1999,Nederland,right_votes,0
1999,Nederland,right_populist_votes,0.61
1999,Nederland,left_votes,0
1999,Nederland,left_populist_votes,3.53
1999,Nederland,populist_votes,0
2000,Nederland,right_votes,0
2000,Nederland,right_populist_votes,0.61
2000,Nederland,left_votes,0
2000,Nederland,left_populist_votes,3.53
2000,Nederland,populist_votes,0
2001,Nederland,right_votes,0
2001,Nederland,right_populist_votes,0.61
2001,Nederland,left_votes,0
2001,Nederland,left_populist_votes,3.53
2001,Nederland,populist_votes,0
2002,Nederland,right_votes,0
2002,Nederland,right_populist_votes,0
2002,Nederland,left_votes,0
2002,Nederland,left_populist_votes,5.9
2002,Nederland,populist_votes,18.61
2003,Nederland,right_votes,0
2003,Nederland,right_populist_votes,0
2003,Nederland,left_votes,0
2003,Nederland,left_populist_votes,0
2003,Nederland,populist_votes,5.7
2004,Nederland,right_votes,0
2004,Nederland,right_populist_votes,0
2004,Nederland,left_votes,0
2004,Nederland,left_populist_votes,0
2004,Nederland,populist_votes,5.7
2005,Nederland,right_votes,0
2005,Nederland,right_populist_votes,0
2005,Nederland,left_votes,0
2005,Nederland,left_populist_votes,0
2005,Nederland,populist_votes,5.7
2006,Nederland,right_votes,0
2006,Nederland,right_populist_votes,5.89
2006,Nederland,left_votes,0
2006,Nederland,left_populist_votes,0
2006,Nederland,populist_votes,0
2007,Nederland,right_votes,0
2007,Nederland,right_populist_votes,5.89
2007,Nederland,left_votes,0
2007,Nederland,left_populist_votes,0
2007,Nederland,populist_votes,0
2008,Nederland,right_votes,0
2008,Nederland,right_populist_votes,5.89
2008,Nederland,left_votes,0
2008,Nederland,left_populist_votes,0
2008,Nederland,populist_votes,0
2009,Nederland,right_votes,0
2009,Nederland,right_populist_votes,5.89
2009,Nederland,left_votes,0
2009,Nederland,left_populist_votes,0
2009,Nederland,populist_votes,0
2010,Nederland,right_votes,0
2010,Nederland,right_populist_votes,15.45
2010,Nederland,left_votes,0
2010,Nederland,left_populist_votes,0
2010,Nederland,populist_votes,0
2011,Nederland,right_votes,0
2011,Nederland,right_populist_votes,15.45
2011,Nederland,left_votes,0
2011,Nederland,left_populist_votes,0
2011,Nederland,populist_votes,0
2012,Nederland,right_votes,0
2012,Nederland,right_populist_votes,10.08
2012,Nederland,left_votes,0
2012,Nederland,left_populist_votes,0
2012,Nederland,populist_votes,0
2013,Nederland,right_votes,0
2013,Nederland,right_populist_votes,10.08
