year,country_name,party,vote_share
1993,Polen,right_votes,3.2
1993,Polen,right_populist_votes,9.07
1993,Polen,left_votes,0
1993,Polen,left_populist_votes,0
1993,Polen,populist_votes,2.78
1994,Polen,right_votes,3.2
1994,Polen,right_populist_votes,9.07
1994,Polen,left_votes,0
1994,Polen,left_populist_votes,0
1994,Polen,populist_votes,2.78
1995,Polen,right_votes,3.2
1995,Polen,right_populist_votes,9.07
1995,Polen,left_votes,0
1995,Polen,left_populist_votes,0
1995,Polen,populist_votes,2.78
1996,Polen,right_votes,3.2
1996,Polen,right_populist_votes,9.07
1996,Polen,left_votes,0
1996,Polen,left_populist_votes,0
1996,Polen,populist_votes,2.78
1997,Polen,right_votes,2.033
1997,Polen,right_populist_votes,0
1997,Polen,left_votes,0
1997,Polen,left_populist_votes,0
1997,Polen,populist_votes,0
1998,Polen,right_votes,2.033
1998,Polen,right_populist_votes,0
1998,Polen,left_votes,0
1998,Polen,left_populist_votes,0
1998,Polen,populist_votes,0
1999,Polen,right_votes,2.033
1999,Polen,right_populist_votes,0
1999,Polen,left_votes,0
1999,Polen,left_populist_votes,0
1999,Polen,populist_votes,0
2000,Polen,right_votes,2.033
2000,Polen,right_populist_votes,0
2000,Polen,left_votes,0
2000,Polen,left_populist_votes,0
2000,Polen,populist_votes,0
2001,Polen,right_votes,0
2001,Polen,right_populist_votes,7.9
2001,Polen,left_votes,0
2001,Polen,left_populist_votes,0
2001,Polen,populist_votes,10.2
2002,Polen,right_votes,0
2002,Polen,right_populist_votes,7.9
2002,Polen,left_votes,0
2002,Polen,left_populist_votes,0
2002,Polen,populist_votes,10.2
2003,Polen,right_votes,0
2003,Polen,right_populist_votes,7.9
2003,Polen,left_votes,0
2003,Polen,left_populist_votes,0
2003,Polen,populist_votes,10.2
2004,Polen,right_votes,0
2004,Polen,right_populist_votes,7.9
2004,Polen,left_votes,0
2004,Polen,left_populist_votes,0
2004,Polen,populist_votes,10.2
2005,Polen,right_votes,1.57
2005,Polen,right_populist_votes,8
2005,Polen,left_votes,0
2005,Polen,left_populist_votes,0
2005,Polen,populist_votes,11.4
2006,Polen,right_votes,1.57
2006,Polen,right_populist_votes,8
2006,Polen,left_votes,0
2006,Polen,left_populist_votes,0
2006,Polen,populist_votes,11.4
2007,Polen,right_votes,0
2007,Polen,right_populist_votes,1.3
2007,Polen,left_votes,0
2007,Polen,left_populist_votes,0
2007,Polen,populist_votes,1.53
2008,Polen,right_votes,0
2008,Polen,right_populist_votes,1.3
2008,Polen,left_votes,0
2008,Polen,left_populist_votes,0
2008,Polen,populist_votes,1.53
2009,Polen,right_votes,0
2009,Polen,right_populist_votes,1.3
2009,Polen,left_votes,0
2009,Polen,left_populist_votes,0
2009,Polen,populist_votes,1.53
2010,Polen,right_votes,0
2010,Polen,right_populist_votes,1.3
2010,Polen,left_votes,0
2010,Polen,left_populist_votes,0
2010,Polen,populist_votes,1.53
2011,Polen,right_votes,1.06
2011,Polen,right_populist_votes,0
2011,Polen,left_votes,0
2011,Polen,left_populist_votes,0
2011,Polen,populist_votes,0
2012,Polen,right_votes,1.06
2012,Polen,right_populist_votes,0
2012,Polen,left_votes,0
2012,Polen,left_populist_votes,0
2012,Polen,populist_votes,0
2013,Polen,right_votes,1.06
2013,Polen,right_populist_votes,0
2013,Polen,left_votes,0
2013,Polen,left_populist_votes,0
2013,Polen,populist_votes,0
2014,Polen,right_votes,1.06
2014,Polen,right_populist_votes,0
2014,Polen,left_votes,0
2014,Polen,left_populist_votes,0
2014,Polen,populist_votes,0
2015,Polen,right_votes,4.76
2015,Polen,right_populist_votes,37.58
2015,Polen,left_votes,3.62
2015,Polen,left_populist_votes,0
2015,Polen,populist_votes,8.81
2016,Polen,right_votes,4.76
2016,Polen,right_populist_votes,37.58
2016,Polen,left_votes,3.62
2016,Polen,left_populist_votes,0
2016,Polen,populist_votes,8.81
2017,Polen,right_votes,4.76
2017,Polen,right_populist_votes,37.58
2017,Polen,left_votes,3.62
2017,Polen,left_populist_votes,0
2017,Polen,populist_votes,8.81
2018,Polen,right_votes,4.76
2018,Polen,right_populist_votes,37.58
2018,Polen,left_votes,3.62
2018,Polen,left_populist_votes,0
2018,Polen,populist_votes,8.81
2019,Polen,right_votes,6.81
2019,Polen,right_populist_votes,43.59
2019,Polen,left_votes,0
2019,Polen,left_populist_votes,0
2019,Polen,populist_votes,0
2020,Polen,right_votes,6.81
2020,Polen,right_populist_votes,43.59
2020,Polen,left_votes,0
2020,Polen,left_populist_votes,0
2020,Polen,populist_votes,0
2021,Polen,right_votes,6.81
2021,Polen,right_populist_votes,43.59
2021,Polen,left_votes,0
2021,Polen,left_populist_votes,0
2021,Polen,populist_votes,0
2022,Polen,right_votes,6.81
2022,Polen,right_populist_votes,43.59
2022,Polen,left_votes,0
2022,Polen,left_populist_votes,0
2022,Polen,populist_votes,0
2023,Polen,right_votes,7.200000000000001
2023,Polen,right_populist_votes,35.4
2023,Polen,left_votes,0
2023,Polen,left_populist_votes,0
2023,Polen,populist_votes,0
2024,Polen,right_votes,7.200000000000001
2024,Polen,right_populist_votes,35.4
2024,Polen,left_votes,0
2024,Polen,left_populist_votes,0
2024,Polen,populist_votes,0
2025,Polen,right_votes,7.200000000000001
2025,Polen,right_populist_votes,35.4
2025,Polen,left_votes,0
2025,Polen,left_populist_votes,0
2025,Polen,populist_votes,0
2026,Polen,right_votes,7.200000000000001
2026,Polen,right_populist_votes,35.4
2026,Polen,left_votes,0
2026,Polen,left_populist_votes,0
2026,Polen,populist_votes,0
