year,country_name,party,vote_share
1993,Spanje,right_votes,0
1993,Spanje,right_populist_votes,0
1993,Spanje,left_votes,10.510000000000002
1993,Spanje,left_populist_votes,0
1993,Spanje,populist_votes,0
1994,Spanje,right_votes,0
1994,Spanje,right_populist_votes,0
1994,Spanje,left_votes,10.510000000000002
1994,Spanje,left_populist_votes,0
1994,Spanje,populist_votes,0
1995,Spanje,right_votes,0
1995,Spanje,right_populist_votes,0
1995,Spanje,left_votes,10.510000000000002
1995,Spanje,left_populist_votes,0
1995,Spanje,populist_votes,0
1996,Spanje,right_votes,0
1996,Spanje,right_populist_votes,0
1996,Spanje,left_votes,12.260000000000002
1996,Spanje,left_populist_votes,0
1996,Spanje,populist_votes,0
1997,Spanje,right_votes,0
1997,Spanje,right_populist_votes,0
1997,Spanje,left_votes,12.260000000000002
1997,Spanje,left_populist_votes,0
1997,Spanje,populist_votes,0
1998,Spanje,right_votes,0
1998,Spanje,right_populist_votes,0
1998,Spanje,left_votes,12.260000000000002
1998,Spanje,left_populist_votes,0
1998,Spanje,populist_votes,0
1999,Spanje,right_votes,0
1999,Spanje,right_populist_votes,0
1999,Spanje,left_votes,12.260000000000002
1999,Spanje,left_populist_votes,0
1999,Spanje,populist_votes,0
2000,Spanje,right_votes,0
2000,Spanje,right_populist_votes,0
2000,Spanje,left_votes,6.88
2000,Spanje,left_populist_votes,0
2000,Spanje,populist_votes,0
2001,Spanje,right_votes,0
2001,Spanje,right_populist_votes,0
2001,Spanje,left_votes,6.88
2001,Spanje,left_populist_votes,0
2001,Spanje,populist_votes,0
2002,Spanje,right_votes,0
2002,Spanje,right_populist_votes,0
2002,Spanje,left_votes,6.88
2002,Spanje,left_populist_votes,0
2002,Spanje,populist_votes,0
2003,Spanje,right_votes,0
2003,Spanje,right_populist_votes,0
2003,Spanje,left_votes,6.88
2003,Spanje,left_populist_votes,0
2003,Spanje,populist_votes,0
2004,Spanje,right_votes,0
2004,Spanje,right_populist_votes,0
2004,Spanje,left_votes,5.86
2004,Spanje,left_populist_votes,0
2004,Spanje,populist_votes,0
2005,Spanje,right_votes,0
2005,Spanje,right_populist_votes,0
2005,Spanje,left_votes,5.86
2005,Spanje,left_populist_votes,0
2005,Spanje,populist_votes,0
