year,country_name,party,vote_share
1993,Verenigd Koninkrijk,right_votes,0
1993,Verenigd Koninkrijk,right_populist_votes,0
1993,Verenigd Koninkrijk,left_votes,0
1993,Verenigd Koninkrijk,left_populist_votes,0
1993,Verenigd Koninkrijk,populist_votes,0
1994,Verenigd Koninkrijk,right_votes,0
1994,Verenigd Koninkrijk,right_populist_votes,0
1994,Verenigd Koninkrijk,left_votes,0
1994,Verenigd Koninkrijk,left_populist_votes,0
1994,Verenigd Koninkrijk,populist_votes,0
1995,Verenigd Koninkrijk,right_votes,0
1995,Verenigd Koninkrijk,right_populist_votes,0
1995,Verenigd Koninkrijk,left_votes,0
1995,Verenigd Koninkrijk,left_populist_votes,0
1995,Verenigd Koninkrijk,populist_votes,0
1996,Verenigd Koninkrijk,right_votes,0
1996,Verenigd Koninkrijk,right_populist_votes,0
1996,Verenigd Koninkrijk,left_votes,0
1996,Verenigd Koninkrijk,left_populist_votes,0
1996,Verenigd Koninkrijk,populist_votes,0
1997,Verenigd Koninkrijk,right_votes,0
1997,Verenigd Koninkrijk,right_populist_votes,0
1997,Verenigd Koninkrijk,left_votes,0
1997,Verenigd Koninkrijk,left_populist_votes,0
1997,Verenigd Koninkrijk,populist_votes,0
1998,Verenigd Koninkrijk,right_votes,0
1998,Verenigd Koninkrijk,right_populist_votes,0
1998,Verenigd Koninkrijk,left_votes,0
1998,Verenigd Koninkrijk,left_populist_votes,0
1998,Verenigd Koninkrijk,populist_votes,0
1999,Verenigd Koninkrijk,right_votes,0
1999,Verenigd Koninkrijk,right_populist_votes,0
1999,Verenigd Koninkrijk,left_votes,0
1999,Verenigd Koninkrijk,left_populist_votes,0
1999,Verenigd Koninkrijk,populist_votes,0
2000,Verenigd Koninkrijk,right_votes,0
2000,Verenigd Koninkrijk,right_populist_votes,0
2000,Verenigd Koninkrijk,left_votes,0
2000,Verenigd Koninkrijk,left_populist_votes,0
2000,Verenigd Koninkrijk,populist_votes,0
2001,Verenigd Koninkrijk,right_votes,0
2001,Verenigd Koninkrijk,right_populist_votes,0
2001,Verenigd Koninkrijk,left_votes,0
2001,Verenigd Koninkrijk,left_populist_votes,0
2001,Verenigd Koninkrijk,populist_votes,1.5
2002,Verenigd Koninkrijk,right_votes,0
2002,Verenigd Koninkrijk,right_populist_votes,0
2002,Verenigd Koninkrijk,left_votes,0
2002,Verenigd Koninkrijk,left_populist_votes,0
2002,Verenigd Koninkrijk,populist_votes,1.5
2003,Verenigd Koninkrijk,right_votes,0
