year,country_name,party,vote_share
1993,Zweden,right_votes,0
1993,Zweden,right_populist_votes,0
1993,Zweden,left_votes,0
1993,Zweden,left_populist_votes,0
1993,Zweden,populist_votes,6.7
1994,Zweden,right_votes,0
1994,Zweden,right_populist_votes,0
1994,Zweden,left_votes,0
1994,Zweden,left_populist_votes,0
1994,Zweden,populist_votes,1.2
1995,Zweden,right_votes,0
1995,Zweden,right_populist_votes,0
1995,Zweden,left_votes,0
1995,Zweden,left_populist_votes,0
1995,Zweden,populist_votes,1.2
1996,Zweden,right_votes,0
1996,Zweden,right_populist_votes,0
1996,Zweden,left_votes,0
1996,Zweden,left_populist_votes,0
1996,Zweden,populist_votes,1.2
1997,Zweden,right_votes,0
1997,Zweden,right_populist_votes,0
1997,Zweden,left_votes,0
1997,Zweden,left_populist_votes,0
1997,Zweden,populist_votes,1.2
1998,Zweden,right_votes,0
1998,Zweden,right_populist_votes,0
1998,Zweden,left_votes,0
1998,Zweden,left_populist_votes,0
1998,Zweden,populist_votes,0
1999,Zweden,right_votes,0
1999,Zweden,right_populist_votes,0
1999,Zweden,left_votes,0
1999,Zweden,left_populist_votes,0
1999,Zweden,populist_votes,0
2000,Zweden,right_votes,0
2000,Zweden,right_populist_votes,0
2000,Zweden,left_votes,0
2000,Zweden,left_populist_votes,0
2000,Zweden,populist_votes,0
2001,Zweden,right_votes,0
2001,Zweden,right_populist_votes,0
2001,Zweden,left_votes,0
2001,Zweden,left_populist_votes,0
2001,Zweden,populist_votes,0
2002,Zweden,right_votes,0
2002,Zweden,right_populist_votes,1.44
2002,Zweden,left_votes,0
2002,Zweden,left_populist_votes,0
2002,Zweden,populist_votes,0
2003,Zweden,right_votes,0
2003,Zweden,right_populist_votes,1.44
2003,Zweden,left_votes,0
2003,Zweden,left_populist_votes,0
2003,Zweden,populist_votes,0
2004,Zweden,right_votes,0
2004,Zweden,right_populist_votes,1.44
2004,Zweden,left_votes,0
2004,Zweden,left_populist_votes,0
2004,Zweden,populist_votes,0
2005,Zweden,right_votes,0
2005,Zweden,right_populist_votes,1.44
