year,country_name,right_votes,right_populist_votes,left_votes,left_populist_votes,populist_votes,other_votes,c2_left_votes,c2_right_votes,c2_populist_votes,country_code,pop,total_population,weight
1993,Austria,0,16.6,0,0,0,0,NA,NA,16.6,AUT,7905633,493577339,0.01601700964638492
1994,Austria,0,22.5,0,0,0,0,0,22.5,22.5,AUT,7936118,494866526,0.016036885873343554
1995,Austria,0,21.9,0,0,0,0,0,21.9,21.9,AUT,7948278,495896419,0.016028101223291954
1996,Austria,0,21.9,0,0,0,0,NA,NA,21.9,AUT,7959017,496794186,0.01602075310921614
1997,Austria,0,21.9,0,0,0,0,NA,NA,21.9,AUT,7968041,497629796,0.01601198534341782
1998,Austria,0,21.9,0,0,0,0,NA,NA,21.9,AUT,7976789,498422758,0.01600406255927824
1999,Austria,0,26.9,0,0,0,0,0,26.9,26.9,AUT,7992324,499391700,0.01600411861070178
2000,Austria,0,26.9,0,0,0,0,NA,NA,26.9,AUT,8011566,500188098,0.016017106428629975
2001,Austria,0,26.9,0,0,0,0,NA,NA,26.9,AUT,8042293,501057553,0.016050637200952442
2002,Austria,0,10.01,0,0,0,0,0,10.01,10.01,AUT,8081957,502405026,0.0160865369209105
2003,Austria,0,10.01,0,0,0,0,NA,NA,10.01,AUT,8121423,504353870,0.01610262849772522
2004,Austria,0,10.01,0,0,0,0,NA,NA,10.01,AUT,8171966,506454762,0.016135628713863294
2005,Austria,0,10.01,0,0,0,0,NA,NA,10.01,AUT,8227829,508547485,0.016179077161299894
2006,Austria,0,15.1,1,0,2.8,0,1,15.1,17.9,AUT,8268641,510559016,0.0161952697746503
2007,Austria,0,15.1,1,0,2.8,0,NA,NA,17.9,AUT,8295487,512690302,0.01618030800980511
2008,Austria,0,28.24,0,0,0,0,0,28.24,28.24,AUT,8321496,514811015,0.016164176285155825
2009,Austria,0,28.24,0,0,0,0,NA,NA,28.24,AUT,8343323,516555899,0.016151829871949637
2010,Austria,0,28.24,0,0,0,0,NA,NA,28.24,AUT,8363404,517886877,0.016149094274115
2011,Austria,0,28.24,0,0,0,0,NA,NA,28.24,AUT,8391643,517857388,0.01620454432910398
2012,Austria,0,28.24,0,0,0,0,NA,NA,28.24,AUT,8429991,519116989,0.016239096732779054
2013,Austria,0,20.5,1,0,9.2,0,1,20.5,29.7,AUT,8479823,520057474,0.0163055497208372
2014,Austria,0,20.5,1,0,9.2,0,NA,NA,29.7,AUT,8546356,521194086,0.01639764577067745
2015,Austria,0,20.5,1,0,9.2,0,NA,NA,29.7,AUT,8642699,522683036,0.016535258282229768
2016,Austria,0,20.5,1,0,9.2,0,NA,NA,29.7,AUT,8736668,524226948,0.016665812456478295
2017,Austria,0,26,0,0,0,4.4,0,26,26,AUT,8797566,525359268,0.016745809079359384
2018,Austria,0,26,0,0,0,4.4,NA,NA,26,AUT,8840521,526797856,0.01678161917196565
2019,Austria,0,16.2,0,0,0,1.9,0,16.2,16.2,AUT,8879920,527825192,0.016823600189208098
2020,Austria,0,16.2,0,0,0,1.9,NA,NA,16.2,AUT,8916864,527999064,0.016888029937871255
2021,Austria,0,16.2,0,0,0,1.9,NA,NA,16.2,AUT,8955797,527696744,0.016971484288711095
2022,Austria,0,16.2,0,0,0,1.9,NA,NA,16.2,AUT,9041851,529422891,0.0170786929573848
2023,Austria,0,16.2,0,0,0,1.9,NA,NA,16.2,AUT,9131761,532183631,0.017159041481304035
2024,Austria,0,28.800000000000004,0,0,0,0,0,28.800000000000004,28.800000000000004,AUT,9177982,534418555,0.017173771221322957
2025,Austria,0,28.800000000000004,0,0,0,0,NA,NA,28.800000000000004,AUT,9177982,534418555,0.017173771221322957
2026,Austria,0,28.800000000000004,0,0,0,0,NA,NA,28.800000000000004,AUT,9177982,534418555,0.017173771221322957
1993,Belgium,0,7.6,0.49,0,0,0,NA,NA,7.6,BEL,10084475,493577339,0.020431397884739598
1994,Belgium,0,7.6,0.49,0,0,0,NA,NA,7.6,BEL,10115603,494866526,0.020441073438052668
1995,Belgium,0,10.11,0.6,0,0,0,0.6,10.11,10.11,BEL,10136811,495896419,0.02044138778102368
1996,Belgium,0,10.11,0.6,0,0,0,NA,NA,10.11,BEL,10156637,496794186,0.02044435560282503
1997,Belgium,0,10.11,0.6,0,0,0,NA,NA,10.11,BEL,10181245,497629796,0.020459476264962237
1998,Belgium,0,10.11,0.6,0,0,0,NA,NA,10.11,BEL,10203008,498422758,0.020470590149095882
1999,Belgium,0,11.319999999999999,0,0,0,0,0,11.319999999999999,11.319999999999999,BEL,10226419,499391700,0.02047775123214903
2000,Belgium,0,11.319999999999999,0,0,0,0,NA,NA,11.319999999999999,BEL,10251250,500188098,0.02049478994200298
