party_name;vote_share;election_date;country_name
Akce nespokojených obcanu;34,5;04.10.25;Czech Republic
Motoristé Sobe;6,8;04.10.25;Czech Republic
Prisaha;1,07;04.10.25;Czech Republic
Svoboda a prímá demokracie;7,8;04.10.25;Czech Republic
Alternative für Deutschland;20,8;23.02.25;Germany
Bündnis Sahra Wagenknecht;4,98;23.02.25;Germany
PDS / Die Linke;7,9;23.02.25;Germany
BoerBurgerBeweging;2,7;29.10.25;Netherlands
Forum voor Democratie;4,5;29.10.25;Netherlands
Juiste Antwoord 21;5,9;29.10.25;Netherlands
Partij voor de Vrijheid;16,7;29.10.25;Netherlands
Socialistiese Partij;1,9;29.10.25;Netherlands
Fremskrittspartiet;23,8;08.09.25;Norway
Pasientfokus;0,1;08.09.25;Norway
Rødt;5,3;08.09.25;Norway
Senterpartiet;5,6;08.09.25;Norway
Sosialistisk Venstreparti;5,6;08.09.25;Norway
Bloco de Esquerda;2;18.05.25;Portugal
Chega;22,6;18.05.25;Portugal
Freiheitliche Partei Österreichs;28,8;29.09.24;Austria
Nieuw-Vlaamse Alliantie;16,7;09.06.24;Belgium
Partij van de Arbeid – Parti du Travail;9,86;09.06.24;Belgium
Vlaams Belang;13,77;09.06.24;Belgium
Ataka;0,163;27.10.24;Bulgaria
Balgarska Sotsialisticheska Partiya;7,6;27.10.24;Bulgaria
Grazhdani za Evropeysko Razvitie na Bulgariya;26,4;27.10.24;Bulgaria
Ima Takav Narod;6,8;27.10.24;Bulgaria
Vazrazhdane;13,4;27.10.24;Bulgaria
Velichie;4;27.10.24;Bulgaria
MECh;4,6;27.10.24;Bulgaria
Bandić Milan 365 – Stranka Rada i Solidarnosti;0,6;17.04.24;Croatia
Domovinski Pokret;9,6;17.04.24;Croatia
Hrvatska Demokratska Zajednica;34,4;17.04.24;Croatia
Hrvatska Stranka Prava Dr. Ante Starcevic;0;17.04.24;Croatia
Hrvatski Suverenisti;8;17.04.24;Croatia
Mozemo!;9,1;17.04.24;Croatia
Radnička Fronta;0,8;17.04.24;Croatia
Debout la république | Debout la France;0,3;07.07.24;France
Front National / Rassemblement National;29,3;07.07.24;France
La France Insoumise;28;07.07.24;France
Les Républicains;10,5;07.07.24;France
Flokkur fólksins;13,8;30.11.24;Iceland
Framsóknarflokkurinn;7,8;30.11.24;Iceland
Miðflokkurinn;12,1;30.11.24;Iceland
Sósíalistaflokkur Íslands;4;30.11.24;Iceland
Independent Ireland;3,6;29.11.24;Ireland
Sinn Féin;19;29.11.24;Ireland
Darbo Partija;2,2;27.10.24;Lithuania
Lietuvos Centro Partija;1,4;27.10.24;Lithuania
Nacionalinis susivienijimas;2,9;27.10.24;Lithuania
Nemuno Aušra;15;27.10.24;Lithuania
Alianța pentru Unirea Românilor;18;01.12.24;Romania
Partidul Oamenilor Tineri;6,5;01.12.24;Romania
Partidul Socialist Democrat;22;01.12.24;Romania
S.O.S Romǎnia;7,4;01.12.24;Romania
Bloco de Esquerda;4,4;10.03.24;Portugal
Chega;18,1;10.03.24;Portugal
Brexit Party / Reform;14,3;04.04.24;United Kingdom
Democratic Unionist Party;0,6;04.04.24;United Kingdom
United Kingdom Independence Party;0;04.04.24;United Kingdom
Alternativ Demokratesch Reformpartei;9,3;08.10.23;Luxembourg
Déi Lénk;3,9;08.10.23;Luxembourg
BoerBurgerBeweging;4,7;22.11.23;Netherlands
Forum voor Democratie;2,2;22.11.23;Netherlands
Juiste Antwoord 21;0,7;22.11.23;Netherlands
Partij voor de Vrijheid;23,5;22.11.23;Netherlands
Socialistiese Partij;3,2;22.11.23;Netherlands
Konfederacja Wolność i Niepodległość;7,2;15.10.23;Poland
Prawo i Sprawiedliwosc;35,4;15.10.23;Poland
Hnutie Slovensko;8,89;30.09.23;Slovakia
Komunistická Strana Slovenska;0,33;30.09.23;Slovakia
Kotlebovci – Ludová Strana Naše Slovensko;0,84;30.09.23;Slovakia
Republika;4,75;30.09.23;Slovakia
Slovenská Národná Strana;5,62;30.09.23;Slovakia
Sme Rodina;2,21;30.09.23;Slovakia
Smer – Slovenská Sociálna Demokracia;22,94;30.09.23;Slovakia
Bloque Nacionalista Galego;0,6;23.07.23;Spain
Candidatura d'Unitat Popular;0,4;23.07.23;Spain
Euskal Herria Bildu;1,4;23.07.23;Spain
Sumar;12,3;23.07.23;Spain
Vox;12,4;23.07.23;Spain
Eidgenössisch-Demokratische Union;1,2;22.10.23;Switzerland
Lega dei Ticinesi;0,6;22.10.23;Switzerland
Mouvement Citoyens Genevois;0,5;22.10.23;Switzerland
Partei der Arbeit der Schweiz;0,7;22.10.23;Switzerland
Schweizer Demokraten;0,08;22.10.23;Switzerland
Schweizerische Volkspartei;27,9;22.10.23;Switzerland
Kommunistische Partei Österreichs Plus;2,4;29.09.24;Austria
Kommunistische Partei Österreichs Plus;0,7;29.09.19;Austria
Kommunistische Partei Österreichs Plus;0,78;15.10.17;Austria
Kommunistische Partei Österreichs Plus;0,76;28.09.08;Austria
Kommunistische Partei Österreichs Plus;0,56;24.11.02;Austria
Kommunistische Partei Österreichs Plus;0,48;03.10.99;Austria
Kommunistische Partei Österreichs Plus;0,3;17.10.95;Austria
Kommunistische Partei Österreichs Plus;0,3;09.10.95;Austria
Kommunistische Partei Österreichs Plus;0,6;07.10.90;Austria
