Party,Name_Short_y,Name_Short_x,CountryCode,parlgov_id
Bündnis Zukunft Österreich,BZO,BZÖ,AUT,1536
Freiheitliche Partei Österreichs,FPO,FPÖ,AUT,50
JETZT – Liste Pilz,PILZ,Pilz,AUT,2651
Liste Dr. Hans-Peter Martin,Martin,Martin,AUT,669
Team Stronach,TS,TS,AUT,2150
Front National,FN,FN,BEL,171
"Lijst Dedecker | Libertair, Direct, Democratisch",LD|LDD,LDD,BEL,221
Nieuw-Vlaamse Alliantie,N-VA,N-VA,BEL,501
Parti populaire,Pp,PP,BEL,438
Partij van de Arbeid – Parti du Travail de Belgique,PA-PTB,PVDA/PTB,BEL,256
Vlaams Blok | Vlaams Belang,VB,VB,BEL,993
Ataka,Ataka,Ataka,BGR,535
Balgarija bes Zensura,BBZ,BBT,BGR,2362
Balgarska Sotsialisticheska Partiya,BSP,BSP,BGR,982
Grazhdani za Evropeysko Razvitie na Balgariya,GERB,GERB,BGR,1541
Ima takav narod,ITN,ITN,BGR,2836
Izpravi se!,IS,ISBG,BGR,2838
Natsionalen Front za Spasenie na Balgariya,NFSB,NFSB,BGR,2211
Natsionalno Dvizhenie Simeon Vtori,NDSV,NDSV,BGR,544
"Red, zakonnost i spravedlivost",RZS,RZS,BGR,636
VMRO – Balgarsko Natsionalno Dvizhenie,VMRO,VMRO,BGR,2212
Vazrazhdane,R,Vazrazhdane,BGR,2640
Volya,Volya,Volya,BGR,2637
Eidgenössisch-Demokratische Union – Union Démocratique Fédérale,EDU-UDF,EDU,CHE,1318
Lega dei Ticinesi,LdT,LdT,CHE,1500
Mouvement Citoyens Genevois,MCR,MCG,CHE,2599
Nationale Aktion – Action Nationale | Schweizer Demokraten – Démocrates Suisses,NA|SD,SD,CHE,628
Partei der Arbeit der Schweiz,PdA,PdA,CHE,1167
Schweizerische Volkspartei – Union Démocratique du Centre,SVP-UDC,SVP,CHE,750
solidaritéS,S,SOL,CHE,1226
Anorthotikó Kómma Ergazómenou Laoú,AKEL,AKEL,CYP,572
Ethniko Laiko Metopo,ELAM,ELAM,CYP,1768
Evropaiko Komma,EK,EVROKO,CYP,491
Kinima Allileggiis,KINHMA,Allilegii,CYP,2626
Neoi Orizontes,NO,NH,CYP,6
Symmaxia,SYM,SYM / SYPOL,CYP,2341
Akce nespokojených občanů 2011,ANO,ANO,CZE,2263
Komunistická strana Cech a Moravy,KSCM,KSCM,CZE,1173
Komunistická strana Československa,KSC,KSC,CZE,665
Přísaha,P,Prisaha,CZE,2831
Sdruzení pro republiku – Republikánská strana Ceskoslovenska,SPR-RSC,SPR-RSC,CZE,872
Svoboda a přímá demokracie,SPD,SPD,CZE,2654
Volný blok,VB,VB,CZE,2854
Věci veřejné,VV,VV,CZE,336
Úsvit přímé demokracie,UPD,Usvit,CZE,2262
Alternative für Deutschland,AfD,AfD,DEU,2253
Die Republikaner,Rep,Republikaner,DEU,524
PDS | Die Linke,PDS|Li,Linke,DEU,791
Dansk Folkeparti,DF,DF,DNK,1418
Enhedslisten – De Rød-Grønne,En-O,En-O,DNK,306
Fremskridtspartiet,FrP,FrP,DNK,978
Nye Borgerlige,NB,NB,DNK,2781
Socialistisk Folkeparti,SF,SF,DNK,1644
Bloque Nacionalista Galego,BNG,BNG,ESP,520
Candidatura d'Unitat Popular,CUP,CUP,ESP,2792
Euskal Herria Bildu,EHB,EHB,ESP,2603
Herri Batasuna,HB,HB,ESP,1317
Partido Communista | Izquierda Unida,PCE|IU,IU,ESP,118
Podemos,P,Podemos,ESP,2376
Vox,Vox,Vox,ESP,2380
Eesti Keskerakond,EK,EK,EST,1137
Eesti Kodanik,EKo,EKo,EST,1064
Eesti Rahvusliku Sõltumatuse Partei,ERSP,ERSP,EST,552
Eestimaa Rahvalliit / Eesti Konservatiivne Rahvaerakond,ERa/EKR,EKRE,EST,417
Erakond Res Publica,ERP,ERP,EST,428
Demokraattinen Liitto – Demokratiska Förbundet | Vasemmistoliitto – Vänsterförbundet,DL|VAS,VAS,FIN,1292
Liike Nyt,LN,Liik,FIN,2801
Suomen Puolue | Perussuomalaiset,SP|P,PS,FIN,200
Debout la république | Debout la France,DLR|DLF,DLR / DLF,FRA,2399
La France Insoumise,FI,FI,FRA,2644
Lutte ouvrière,LO,LO,FRA,1176
Mouvement pour la France,MF,MPF,FRA,1101
Parti communiste française,PCF,PCF,FRA,686
Rassemblement National,FN,FN / RN,FRA,270
Rassemblement pour la France,RPF,RPF,FRA,2252
Brexit Party,BP,BRX / Reform,GBR,2729
Democratic Unionist Party,DUP,DUP,GBR,319
Respect – The Unity Coalition,R,R,GBR,1057
United Kingdom Independence Party,UKIP,UKIP,GBR,1272
Anexartitoi Ellines,ANEL,ANEL,GRC,2091
Dimokratiko Koinoniko Kinima,DIKKI,DIKKI,GRC,720
Elliniki Lisi,EL,EL,GRC,2780
Kommounistikó Kómma Elládas,KKE,KKE,GRC,614
Laikos Syndesmos – Chrysi Avg,LS-CA,GD,GRC,2092
Laïkí Enótita | Plefsi Eleftherias,LE|PE,LAE,GRC,2596
Laïkós Orthódoxos Synagermós,LAOS,LAOS,GRC,1179
Métopo Evropaikís Realistikís Anypakoís,MeRA25,MeRa25,GRC,2742
Oikolόgoi Enallaktikoί,OE,OE,GRC,2163
Politiki Anixi,POLAN,POLAN,GRC,1412
