"iso3c","iso2c","cname_en","edate","mmm","mmm_doc","electorate","total_vote","valid_vote","total_seats","electorate_2ndtier","total_vote_2ndtier","valid_vote_2ndtier","total_seats_2ndtier","party_id","cmp","cmp_parfam","pinitials","pname_en","pname_or","votes","v_share","estimate","votes_2ndtier","v_share_2ndtier","estimate_2ndtier","v_share_wgt","seats","seats_2ndtier","s_share","alliance","alliance_id","alliance_cmp","alliance_initials","alliance_en","alliance_or","region","continent","eu_member","eu_east","eu_since","eu_exit","oecd","oecd23","oecd_since"
"ALB","AL","Albania",1991-03-31,"no","no",1977516,1949816,1862520,250,NA,NA,NA,NA,"AL10","75810","80","PAS","Agrarian Party of Albania","Partia Agrare ë Shqipërisë",1379,0.000740394734016279,"no",NA,NA,NA,0.000740394734016279,0,NA,0,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1991-03-31,"no","no",1977516,1949816,1862520,250,NA,NA,NA,NA,"AL2","75624","60","PDS","Democratic Party of Albania","Partia Demokratike ë Shqipërisë",720948,0.387082017911217,"no",NA,NA,NA,0.387082017911217,75,NA,0.3,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1991-03-31,"no","no",1977516,1949816,1862520,250,NA,NA,NA,NA,"AL22",NA,NA,"KKVLAPSH","National Veterans' Committee","Komiteti Kombetar i Veteraneve te-Liftes Antifashiste te Popullit Shqiptar",5241,0.00281392951485085,"no",NA,NA,NA,0.00281392951485085,1,NA,0.004,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1991-03-31,"no","no",1977516,1949816,1862520,250,NA,NA,NA,NA,"AL4","75220","20","PSS","Socialist Party of Albania","Partia Socialiste e Shqipërisë",1046120,0.561669136438803,"no",NA,NA,NA,0.561669136438803,169,NA,0.676,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1991-03-31,"no","no",1977516,1949816,1862520,250,NA,NA,NA,NA,"AL6","75951","90","OMONIA","Democratic Union of the Greek Minority","Bashkimia Demokratik i Minoritet Grek",13538,0.0072686467796319,"no",NA,NA,NA,0.0072686467796319,5,NA,0.02,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1991-03-31,"no","no",1977516,1949816,1862520,250,NA,NA,NA,NA,"AL7","75722","70","PRSH","Albanian Republican Party","Partia Republikana Shqipërisë",27393,0.0147074930738999,"no",NA,NA,NA,0.0147074930738999,0,NA,0,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1991-03-31,"no","no",1977516,1949816,1862520,250,NA,NA,NA,NA,"AL999",NA,NA,NA,"Others","Others",47901,0.0257183815475807,"no",NA,NA,NA,0.0257183815475807,0,NA,0,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1992-03-22,"yes","yes",2021169,1680480,1680480,40,NA,NA,NA,100,"AL2","75624","60","PDS","Democratic Party of Albania","Partia Demokratike ë Shqipërisë",1046193,0.622556055412739,"no",NA,NA,NA,0.622556055412739,2,90,0.657142857142857,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1992-03-22,"yes","yes",2021169,1680480,1680480,40,NA,NA,NA,100,"AL4","75220","20","PSS","Socialist Party of Albania","Partia Socialiste e Shqipërisë",433602,0.258022707797772,"no",NA,NA,NA,0.258022707797772,32,6,0.271428571428571,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1992-03-22,"yes","yes",2021169,1680480,1680480,40,NA,NA,NA,100,"AL5","75320","30","PSDSH","Social Democratic Party of Albania","Partia Socialdemokrate ë Shqipërisë",73820,0.0439279253546606,"no",NA,NA,NA,0.0439279253546606,6,1,0.05,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1992-03-22,"yes","yes",2021169,1680480,1680480,40,NA,NA,NA,100,"AL6","75951","90","PDNJ","Human Rights Union Party","Partia Bashkimi per te Drejtat e Njeriut",48923,0.02911251547177,"no",NA,NA,NA,0.02911251547177,0,2,0.0142857142857143,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1992-03-22,"yes","yes",2021169,1680480,1680480,40,NA,NA,NA,100,"AL7","75722","70","PRSH","Albanian Republican Party","Partia Republikana Shqipërisë",52477,0.0312273874131201,"no",NA,NA,NA,0.0312273874131201,0,1,0.00714285714285714,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1992-03-22,"yes","yes",2021169,1680480,1680480,40,NA,NA,NA,100,"AL999",NA,NA,NA,"Others","Others",25465,0.0151534085499381,"no",NA,NA,NA,0.0151534085499381,0,0,0,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1996-05-26,"yes","yes",2204002,1963344,1646571,25,NA,NA,NA,115,"AL12","75623","95","PLL","Legality Movement Party","Partia Lëvizja e Legalitetit",34109,0.0207151711040702,"no",NA,NA,NA,0.0207151711040702,0,0,0,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
"ALB","AL","Albania",1996-05-26,"yes","yes",2204002,1963344,1646571,25,NA,NA,NA,115,"AL16",NA,NA,"PDK","Demochristian Party of Albania","Partia Demokristiane ë Shqipërisë",21068,0.0127950753414217,"no",NA,NA,NA,0.0127950753414217,0,0,0,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","no","no",NA,NA,"no","no",NA
