Country,Party Name,Name En.,Abbr.,Populist,Far-Right,Far-Left,Eurosceptic,In Parliament
Austria,Freiheitliche Partei Österreichs,Freedom Party of Austria,FPÖ,●,●,,●,●
Austria,Bündnis Zukunft Österreich,Alliance for the Future of Austria,BZÖ,●,● (-2008),,●,
Austria,JETZT - Liste Pilz,NOW – Pilz List,Pilz,◐,,,,
Austria,Kommunistische Partei Österreichs Plus,Communist Party of Austria Plus,KPÖ Plus,,,●,●,
Austria,Liste Hans-Peter Martin,Hans-Peter Martin's List,Martin,●,,,●,
Austria,Team Stronach,Team Stronach,TS,●,,,●,
Belgium,Nieuw-Vlaamse Alliantie,New Flemish Alliance,N-VA,◐ (2019-2025),◐ (2019-2025),,,●
Belgium,Partij van de Arbeid – Parti du Travail,Workers' Party of Belgium,PVDA/PTB,◐,,●,●,●
Belgium,Vlaams Belang,Flemish Interest,VB,●,●,,●,●
Belgium,Front National,National Front,FN,●,●,,●,
Belgium,Lijst Dedecker,List Dedecker,LDD,●,,,◐,
Belgium,Parti populaire,People's Party,PP,●,●,,●,
Bulgaria,Grazhdani za Evropeysko Razvitie na Bulgariya,Citizens for European Development of Bulgaria,GERB,●,,,,●
Bulgaria,Ima Takav Narod,There Is Such a People,ITN,●,,,,●
Bulgaria,MECh,"Morality, Unity, Honour",MECh,●,●,,●,●
Bulgaria,Vazrazhdane,Revival,Vazrazhdane,●,●,,●,●
Bulgaria,Velichie,Greatness,Velichie,◐,◐,,●,●
Bulgaria,Прогресивна България,Progressive Bulgaria,PB,●,,,◐,●
Bulgaria,Ataka,Attack,Ataka,●,●,,●,
Bulgaria,Balgarska Sotsialisticheska Partiya,Bulgarian Socialist Party,BSP,◐ (2017-2022),◐,,,
Bulgaria,Balgarsko Natsionalno Dvizhenie,Bulgarian National Movement,VMRO,●,●,,●,
Bulgaria,Bulgarski Vazhod,Bulgarian Rise,BV,●,◐,,◐,
Bulgaria,Izpravi se.BG,Stand Up.BG,ISBG,●,,,,
Bulgaria,Natsionalen Front za Spasenie na Balgariya,National Front for the Salvation of Bulgaria,NFSB,●,●,,●,
Bulgaria,Natsionalno Dvizhenie za Stabilnost i Vazhod,National Movement for Stability and Progress,NDSV,●,,,,
Bulgaria,Prezaredi Bulgariya,Bulgaria Uncensored,BBT,●,◐,,●,
Bulgaria,"Red, Zakonnost i Spravedlivost","Order, Law and Justice",RZS,●,●,,●,
Bulgaria,Volya,Will,Volya,●,●,,●,
Bulgaria,Левицата!,The Left!,Левицата!,●,,,,
Croatia,Dom i Nacionalno Okupljanje,Home and National Rally,DOMiNO,●,● (-2000),,●,●
Croatia,Domovinski Pokret,Homeland Movement,DP,●,●,,●,●
Croatia,Hrvatska Demokratska Zajednica,Croatian Democratic Union,HDZ,● (-2000),● (-2000),,● (-2000),●
Croatia,Hrvatski Suverenisti,Croatian Sovereigntists,HS,●,●,,●,●
Croatia,Most,Bridge,Most,●,● (2020-)<br>◐ (-2020),,,●
Croatia,Mozemo!,We Can!,Mozemo,●,,,,●
Croatia,Pravo i Pravda,Law and Justice,PiP,●,● (-2000),,●,●
Croatia,Bandić Milan 365 – Stranka Rada i Solidarnosti,Bandić Milan 365 – Labour and Solidarity Party,BM365,●,,,,
Croatia,Blok za Hrvatsku,Bloc for Croatia,BzH,●,●,,●,
Croatia,Hrvatska Cista Stranka Prava,Croatian Pure Party of Rights,HCSP,,●,,●,
Croatia,Hrvatska Konzervativna Stranka,Croatian Conservative Party,HKS,●,●,,●,
Croatia,Hrvatska Stranka Prava,Croatian Party of Rights,HSP,,●,,●,
Croatia,Hrvatska Stranka Prava Dr. Ante Starcevic,Croatian Party of Rights Dr. Ante Starčević,HSP AS,,●,,●,
Croatia,Hrvatski demokratski savez Slavonije i Baranje,Croatian Democratic Alliance of Slavonia and Baranja,HDSSB,●,◐,,,
Croatia,Hrvatski laburisti – Stranka rada,Croatian Labourists - Labour Party,HL-SR,●,,,,
Croatia,Hrvatski rast,Croatian Growth,Hrast,●,●,,●,
Croatia,Radnička Fronta,Workers' Front,RF,●,,●,●,
