year,party,vote_share
1993,far-right,0.47
1994,far-right,0.46
1995,far-right,0.43
1996,far-right,0.46
1997,far-right,0.37
1998,far-right,0.36
1999,far-right,0.35
2000,far-right,0.38
2001,far-right,1.59
2002,far-right,1.61
2003,far-right,1.62
2004,far-right,1.62
2005,far-right,1.74
2006,far-right,1.74
2007,far-right,1.6
2008,far-right,0.24
2009,far-right,0.24
2010,far-right,0.25
2011,far-right,0.35
2012,far-right,0.19
2013,far-right,0.19
2014,far-right,0.2
2015,far-right,0.44
2016,far-right,0.63
2017,far-right,0.62
2018,far-right,0.6
2019,far-right,0.74
2020,far-right,0.63
2021,far-right,0.63
2022,far-right,0.72
2023,far-right,0.87
2024,far-right,1.69
2025,far-right,1.69
2026,far-right,1.72
1993,far-right populist,5.98
1994,far-right populist,4.34
1995,far-right populist,4.47
1996,far-right populist,5.41
1997,far-right populist,5.53
1998,far-right populist,5.53
1999,far-right populist,5.73
2000,far-right populist,6.43
2001,far-right populist,5.92
2002,far-right populist,4.95
2003,far-right populist,4.84
2004,far-right populist,4.56
2005,far-right populist,7.04
2006,far-right populist,7.4
2007,far-right populist,6.41
2008,far-right populist,6.91
2009,far-right populist,7.04
2010,far-right populist,7.61
2011,far-right populist,7.47
2012,far-right populist,8.61
2013,far-right populist,8.04
2014,far-right populist,8.2
2015,far-right populist,10.07
2016,far-right populist,10.14
2017,far-right populist,11.14
2018,far-right populist,13.11
2019,far-right populist,15.04
2020,far-right populist,15.35
2021,far-right populist,14.96
2022,far-right populist,16.87
2023,far-right populist,16.34
2024,far-right populist,20.85
2025,far-right populist,22.75
2026,far-right populist,23.42
1993,far-left,3.7
1994,far-left,2.99
1995,far-left,3.08
1996,far-left,4.1
1997,far-left,4.19
1998,far-left,4.26
1999,far-left,4.31
2000,far-left,3.79
2001,far-left,3.62
2002,far-left,3.25
2003,far-left,3.24
2004,far-left,3.17
2005,far-left,3.23
2006,far-left,3.15
2007,far-left,3.04
2008,far-left,2.39
2009,far-left,2.44
2010,far-left,2.37
2011,far-left,2.56
2012,far-left,2.82
2013,far-left,3.14
2014,far-left,3.15
2015,far-left,3.21
2016,far-left,2.89
2017,far-left,2.23
2018,far-left,2.15
2019,far-left,2.08
2020,far-left,2.04
2021,far-left,1.98
2022,far-left,1.22
2023,far-left,1.71
2024,far-left,1.74
2025,far-left,1.53
2026,far-left,1.58
1993,far-left populist,0.59
1994,far-left populist,1.02
1995,far-left populist,1.03
1996,far-left populist,1.16
1997,far-left populist,1.16
1998,far-left populist,1.28
1999,far-left populist,1.27
2000,far-left populist,1.2
2001,far-left populist,1.21
2002,far-left populist,1.09
2003,far-left populist,1.1
2004,far-left populist,1.07
2005,far-left populist,1.87
2006,far-left populist,2.18
2007,far-left populist,2.19
2008,far-left populist,2.26
2009,far-left populist,2.76
2010,far-left populist,2.51
2011,far-left populist,2.41
2012,far-left populist,2.88
2013,far-left populist,2.37
2014,far-left populist,2.4
2015,far-left populist,3.77
2016,far-left populist,3.83
2017,far-left populist,5.32
2018,far-left populist,5.38
2019,far-left populist,4.5
2020,far-left populist,4.51
2021,far-left populist,3.74
2022,far-left populist,5.6
2023,far-left populist,4.62
2024,far-left populist,1.35
2025,far-left populist,2.7
2026,far-left populist,2.68
1993,populist,1.37
1994,populist,6.26
1995,populist,6.29
1996,populist,5.79
1997,populist,5.58
1998,populist,5.6
1999,populist,5.62
2000,populist,5.67
2001,populist,6.35
2002,populist,7.7
2003,populist,7.34
2004,populist,7.66
2005,populist,7.21
2006,populist,5.33
2007,populist,4.61
2008,populist,6.42
2009,populist,6.76
2010,populist,6.84
2011,populist,6.86
2012,populist,7.48
2013,populist,8.93
2014,populist,8.79
2015,populist,9.42
2016,populist,8.94
2017,populist,8.36
2018,populist,8.37
2019,populist,8.28
2020,populist,8.32
2021,populist,8.33
2022,populist,5.51
2023,populist,4.87
2024,populist,4.6
2025,populist,4.73
2026,populist,5.45
