country,dataset_key,dataset_party_id,name_short,name,name_english,year_first,year_last,share,share_year,description,comment,created,modified,external_id,partyfacts_id,linked
ALB,manifesto,75721,DBSH,E Djatha e Bashkuar e Shqipërisë,United Albanian Right,1996,1997,5.0,1996,,,2013-01-01 18:18:05.413000+00:00,2023-06-05 10:39:57.075788+00:00,1914,674,2013-01-01 18:33:17.889000+00:00
ALB,manifesto,75810,PASH,Partia Agrare e Shqipërisë,Agrarian Party of Albania,1991,2001,2.6,2001,,,2013-01-01 18:17:39.471000+00:00,2023-06-05 10:39:41.287762+00:00,1789,840,2013-01-01 18:33:17.491000+00:00
ALB,manifesto,75421,AD,Partia Aleanca Demokratike,Democratic Alliance Party,1992,2001,2.7,1997,,,2013-01-01 18:17:37.134000+00:00,2023-06-05 10:39:57.900175+00:00,1778,594,2014-02-09 12:46:36.901910+00:00
ALB,manifesto,75951,PBDNJ,Partia Bashkimi për të Drejtat e Njeriut,Union for Human Rights Party,1991,2001,4.0,1996,,,2013-01-01 18:17:24.398000+00:00,2023-06-05 10:39:53.982316+00:00,1718,1636,2018-08-20 22:37:22.170463+00:00
ALB,manifesto,75624,PD,Partia Demokratike e Shqipërisë,Democratic Party of Albania,1991,1997,62.1,1992,,,2013-01-01 18:16:44.165000+00:00,2023-06-05 10:39:47.070102+00:00,1533,190,2014-02-09 13:21:50.939526+00:00
ALB,manifesto,75622,PUK,Partia e Unitetit Kombëtar,Party of National Unity,1992,1992,0.0,1992,,,2013-01-01 18:18:12.725000+00:00,2023-06-05 10:39:56.763229+00:00,1949,2571,2018-10-09 13:26:17.816218+00:00
ALB,manifesto,75623,PLL,Partia Lëvizja e Legalitetit,Legality Movement Party,1991,1997,3.3,1997,,,2013-01-01 18:17:38.845000+00:00,2023-06-05 10:40:02.046175+00:00,1786,732,2013-01-01 18:33:18.352000+00:00
ALB,manifesto,75621,PP,Partia Popullore,People’s Party,1991,1991,0.0,1991,,formerly: APLP Albanian People’s League Party,2013-01-01 18:16:25.973000+00:00,2023-06-05 10:39:45.688381+00:00,1448,2571,2018-10-09 13:29:23.125892+00:00
ALB,manifesto,75722,PRSH,Partia Republikane Shqiptare,Albanian Republican Party,1991,1997,5.7,1996,,,2013-01-01 18:17:52.743000+00:00,2023-06-05 10:39:55.443265+00:00,1853,819,2013-01-01 18:33:18.723000+00:00
ALB,manifesto,75320,PSD,Partia Socialdemokrate ë Shqipërisë,Social Democratic Party of Albania,1991,2001,4.4,1992,,,2013-01-01 18:17:09.542000+00:00,2023-06-05 10:39:40.116382+00:00,1649,838,2014-06-27 20:20:26.778969+00:00
